suite	target	expected_status
fixed-impact	duplicate_detected_before_any_accept	verified
fixed-impact	duplicate_batch_has_no_accept	verified
fixed-impact	duplicate_batch_has_no_accept_output	verified
fixed-impact	duplicate_batch_has_no_install	verified
fixed-impact	process_requires_dedup_pass	verified
fixed-impact	dedup_pass_messages_distinct	verified
fixed-impact	dedup_decision_single_use	verified
fixed-impact	dedup_outcomes_exclusive	verified
fixed-impact	normal_distinct_batch_complete	verified
fixed-impact	normal_distinct_consumer_complete	verified
fixed-impact	normal_distinct_fail_slot1_exists	verified
fixed-impact	normal_distinct_fail_slot2_exists	verified
fixed-impact	batch_fail_complete_exclusive	verified
fixed-impact	state_consumed_on_duplicate_fail	verified
fixed-impact	no_consumer_after_failed_batch	verified
v6	executable_add_slot	verified
v6	executable_seal_batch	verified
v6	executable_process_slot	verified
v6	executable_batch_complete	verified
v6	executable_batch_fail	verified
v6	process_requires_slot_added	verified
v6	process_requires_seal	verified
v6	complete_requires_seal	verified
v6	fail_requires_seal	verified
v6	batch_complete_consumes_state	verified
v6	batch_fail_consumes_state	verified
v6	batch_end_token_single_use	verified
v6	batch_fail_complete_exclusive	verified
v6	slot_origin_without_early_compromise	verified
v6	slot_key_known_requires_exception	verified
v6	partnered_slot_key_not_attacker_known_without_early_compromise	verified
v7	executable_four_slots_added	verified
v7	executable_seal_batch	verified
v7	executable_four_slots_processed	verified
v7	executable_batch_complete	verified
v7	executable_batch_fail	verified
v7	seal_requires_all_slots_added	verified
v7	process_requires_slot_added	verified
v7	process_requires_seal	verified
v7	complete_requires_seal	verified
v7	fail_requires_seal	verified
v7	complete_requires_all_slots_done	verified
v7	complete_requires_all_added_slots_processed	verified
v7	no_add_after_seal	verified
v7	no_add_after_complete	verified
v7	no_add_after_fail	verified
v7	no_slot_accept_after_complete	verified
v7	no_slot_accept_after_fail	verified
v7	no_slot_accept_after_close	verified
v7	batch_complete_consumes_state	verified
v7	batch_fail_consumes_state	verified
v7	batch_end_token_single_use	verified
v7	batch_fail_complete_exclusive	verified
v7	receiver_state_single_batch_end	verified
v7	slot_origin	verified
