suite	lemma	actual_status	expected_status	selected_run	match	selected_raw_output
fixed-replay	normal_distinct_batch_complete	verified	verified	run2	MATCH	proofs/fixed-replay/normal_distinct_batch_complete.out
fixed-replay	normal_distinct_fail_slot1_exists	verified	verified	run2	MATCH	proofs/fixed-replay/normal_distinct_fail_slot1_exists.out
fixed-replay	normal_distinct_fail_slot2_exists	verified	verified	run2	MATCH	proofs/fixed-replay/normal_distinct_fail_slot2_exists.out
fixed-replay	normal_single_accept	verified	verified	run2	MATCH	proofs/fixed-replay/normal_single_accept.out
fixed-replay	one_send_two_accepts_exists	falsified	falsified	run2	MATCH	proofs/fixed-replay/one_send_two_accepts_exists.out
fixed-replay	process_requires_dedup_pass	verified	verified	run2	MATCH	proofs/fixed-replay/process_requires_dedup_pass.out
fixed-replay	process_requires_seal	verified	verified	run2	MATCH	proofs/fixed-replay/process_requires_seal.out
fixed-replay	process_requires_slot_added	verified	verified	run2	MATCH	proofs/fixed-replay/process_requires_slot_added.out
fixed-replay	receiver_accept_has_sender	verified	verified	run2	MATCH	proofs/fixed-replay/receiver_accept_has_sender.out
fixed-replay	receiver_state_single_batch	verified	verified	run2	MATCH	proofs/fixed-replay/receiver_state_single_batch.out
fixed-replay	receiver_state_single_batch_end	verified	verified	run2	MATCH	proofs/fixed-replay/receiver_state_single_batch_end.out
fixed-replay	same_message_accepted_at_most_once	verified	verified	run2	MATCH	proofs/fixed-replay/same_message_accepted_at_most_once.out
fixed-replay	slot_indices_distinct	verified	verified	run2	MATCH	proofs/fixed-replay/slot_indices_distinct.out
fixed-replay	state_consumed_on_duplicate_fail	verified	verified	run2	MATCH	proofs/fixed-replay/state_consumed_on_duplicate_fail.out
hmac-replay	batch_complete_consumes_state	verified	verified	run2	MATCH	proofs/hmac-replay/batch_complete_consumes_state.out
hmac-replay	batch_end_token_single_use	verified	verified	run2	MATCH	proofs/hmac-replay/batch_end_token_single_use.out
hmac-replay	batch_fail_consumes_state	verified	verified	run2	MATCH	proofs/hmac-replay/batch_fail_consumes_state.out
hmac-replay	complete_requires_all_slots_processed	verified	verified	run2	MATCH	proofs/hmac-replay/complete_requires_all_slots_processed.out
hmac-replay	confirmed_message_accepted_at_most_once	falsified	falsified	run2	MATCH	proofs/hmac-replay/confirmed_message_accepted_at_most_once.out
hmac-replay	confirmed_message_unique_send	verified	verified	run2	MATCH	proofs/hmac-replay/confirmed_message_unique_send.out
hmac-replay	confirmed_receiver_accept_has_sender	verified	verified	run2	MATCH	proofs/hmac-replay/confirmed_receiver_accept_has_sender.out
hmac-replay	injective_confirmed_receiver_accept	falsified	falsified	run2	MATCH	proofs/hmac-replay/injective_confirmed_receiver_accept.out
hmac-replay	no_accept_after_close	verified	verified	run2	MATCH	proofs/hmac-replay/no_accept_after_close.out
hmac-replay	no_add_after_seal	verified	verified	run2	MATCH	proofs/hmac-replay/no_add_after_seal.out
hmac-replay	normal_confirmed_batch_complete	verified	verified	run2	MATCH	proofs/hmac-replay/normal_confirmed_batch_complete.out
hmac-replay	normal_confirmed_single_accept	verified	verified	run2	MATCH	proofs/hmac-replay/normal_confirmed_single_accept.out
hmac-replay	one_confirmed_send_two_accepts_exists	verified	verified	run2	MATCH	proofs/hmac-replay/one_confirmed_send_two_accepts_exists.out
