suite	target	actual_status	expected_status	exit_status	loop	raw_output
combined-impact	confirmed_receiver_accept_has_unique_output	nonterminal	verified	137	false	proofs/combined-impact/confirmed_receiver_accept_has_unique_output.out
combined-impact	accept_id_unique	verified	verified	0	false	proofs/combined-impact/accept_id_unique.out
combined-impact	install_has_prior_accept	verified	verified	0	false	proofs/combined-impact/install_has_prior_accept.out
combined-impact	install_session_has_interface_origin	verified	verified	0	false	proofs/combined-impact/install_session_has_interface_origin.out
combined-impact	install_from_accept_has_session	verified	verified	0	false	proofs/combined-impact/install_from_accept_has_session.out
combined-impact	install_event_has_single_source	verified	verified	0	false	proofs/combined-impact/install_event_has_single_source.out
combined-impact	install_handle_unique	verified	verified	0	false	proofs/combined-impact/install_handle_unique.out
combined-impact	accept_output_installed_at_most_once	verified	verified	0	false	proofs/combined-impact/accept_output_installed_at_most_once.out
combined-impact	distinct_accept_sources_have_distinct_handles	verified	verified	0	false	proofs/combined-impact/distinct_accept_sources_have_distinct_handles.out
combined-impact	install_requires_batch_complete	verified	verified	0	false	proofs/combined-impact/install_requires_batch_complete.out
combined-impact	consumer_complete_requires_all_outputs_installed	verified	verified	0	false	proofs/combined-impact/consumer_complete_requires_all_outputs_installed.out
combined-impact	consumer_complete_single_use	verified	verified	0	false	proofs/combined-impact/consumer_complete_single_use.out
combined-impact	no_install_after_consumer_close	verified	verified	0	false	proofs/combined-impact/no_install_after_consumer_close.out
combined-impact	normal_one_confirmed_accept_one_install	verified	verified	0	false	proofs/combined-impact/normal_one_confirmed_accept_one_install.out
combined-impact	legacy_same_confirmed_message_consumer_complete_exists	falsified	falsified	0	false	proofs/combined-impact/legacy_same_confirmed_message_consumer_complete_exists.out
combined-impact	one_confirmed_send_two_accepts_two_installs_exists	falsified	falsified	0	false	proofs/combined-impact/one_confirmed_send_two_accepts_two_installs_exists.out
combined-impact	unique_install_within_completed_consumer	verified	verified	0	false	proofs/combined-impact/unique_install_within_completed_consumer.out
combined-impact	duplicate_batch_has_no_accept_output	nonterminal	verified	137	false	proofs/combined-impact/duplicate_batch_has_no_accept_output.out
combined-impact	duplicate_batch_has_no_install	verified	verified	0	false	proofs/combined-impact/duplicate_batch_has_no_install.out
combined-impact	normal_two_distinct_valid_confirmed_outputs_consumer_complete	verified	verified	0	false	proofs/combined-impact/normal_two_distinct_valid_confirmed_outputs_consumer_complete.out
combined-impact	no_consumer_after_failed_batch	verified	verified	0	false	proofs/combined-impact/no_consumer_after_failed_batch.out
